0.5,0.75,550,0.5437,0.5069,0.5247,0.2953,0.0345,29
0,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,300,0.4328,0.6659,0.5246,0.4074,0.0345,29
0.25,0.75,550,0.5306,0.5172,0.5238,0.3003,0.0345,29
1,0.25,250,0.4037,0.7428,0.5231,0.4384,0.0345,29
1,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,400,0.5425,0.5044,0.5227,0.3374,0.0345,29
0.5,0,500,0.5564,0.4922,0.5223,0.3138,0.0345,29
0.25,0,500,0.5402,0.5041,0.5215,0.3143,0.0345,29
0,1,200,0.3962,0.7551,0.5197,0.4431,0.0345,29
0,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,350,0.455,0.6058,0.5197,0.3764,0.0345,29
0.75,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,450,0.5536,0.4847,0.5169,0.3269,0.0345,29
0.25,0.25,300,0.394,0.7511,0.5169,0.4407,0.0345,29
0.5,0,350,0.4067,0.7064,0.5162,0.4241,0.0345,29
0.25,0,350,0.4009,0.7231,0.5159,0.4316,0.0345,29
1,0,300,0.4099,0.6951,0.5157,0.4176,0.0345,29
0.5,0,300,0.3947,0.7429,0.5155,0.4357,0.0345,29
0,0,500,0.5218,0.5075,0.5145,0.3116,0.0345,29
0.75,0.75,550,0.5567,0.478,0.5144,0.2902,0.0345,29
0.25,0.5,550,0.542,0.4882,0.5137,0.2907,0.0345,29
0.75,0,500,0.5645,0.4708,0.5134,0.3047,0.0345,29
0,0.25,300,0.3904,0.7498,0.5134,0.438,0.0345,29
0,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,400,0.4794,0.5526,0.5134,0.344,0.0345,29
0.25,0,300,0.3912,0.7457,0.5132,0.438,0.0345,29
1,0.25,500,0.5884,0.4549,0.5131,0.3022,0.0345,29
0.25,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,450,0.5231,0.5034,0.5131,0.3222,0.0345,29
0.75,0,300,0.3963,0.7254,0.5125,0.433,0.0345,29
0.5,0.5,550,0.5541,0.4762,0.5122,0.289,0.0345,29
0,0,300,0.3899,0.7456,0.512,0.4359,0.0345,29
0,0,350,0.3956,0.725,0.5119,0.4282,0.0345,29
0.25,0.5,250,0.3867,0.7531,0.511,0.4414,0.0345,29
0,0.5,250,0.3862,0.7533,0.5107,0.4417,0.0345,29
0,0.5,550,0.5304,0.4885,0.5086,0.2852,0.0345,29
1,1,550,0.5571,0.4663,0.5077,0.2774,0.0345,29
0.25,0.25,250,0.3825,0.7533,0.5074,0.4415,0.0345,29
1,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,200,0.3909,0.7164,0.5058,0.4305,0.0345,29
0.5,0.25,250,0.3791,0.7528,0.5043,0.4419,0.0345,29
0,0.25,250,0.3778,0.7531,0.5032,0.4401,0.0345,29
0,1,600,0.5222,0.4852,0.503,0.2782,0.0345,29
0.75,0.25,250,0.3772,0.7521,0.5024,0.4412,0.0345,29
1,0.75,550,0.572,0.4475,0.5022,0.2769,0.0345,29
0.25,1,600,0.5288,0.4776,0.5019,0.2778,0.0345,29
1,0,500,0.5874,0.4364,0.5008,0.2961,0.0345,29
0.5,0.75,200,0.3742,0.7543,0.5003,0.4429,0.0345,29
0.5,1,600,0.5388,0.4667,0.5001,0.2754,0.0345,29
0.75,0.5,550,0.5634,0.4488,0.4996,0.2762,0.0345,29
1,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,450,0.5497,0.455,0.4979,0.3095,0.0345,29
0,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,450,0.4999,0.4948,0.4973,0.3048,0.0345,29
0.25,0.25,550,0.5475,0.4517,0.495,0.2601,0.0345,29
0.75,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,200,0.3684,0.7483,0.4937,0.442,0.0345,29
0.25,0.75,200,0.366,0.7546,0.4929,0.4417,0.0345,29
0.5,0.25,550,0.5569,0.4404,0.4918,0.2613,0.0345,29
1,0.5,200,0.3648,0.7524,0.4914,0.4461,0.0345,29
0,0.75,600,0.5324,0.4527,0.4893,0.2635,0.0345,29
0.25,0.75,600,0.5404,0.4461,0.4888,0.2647,0.0345,29
0,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,250,0.3713,0.7135,0.4884,0.4252,0.0345,29
0,0.25,550,0.5369,0.4469,0.4878,0.249,0.0345,29
1,0.5,550,0.5801,0.4188,0.4864,0.2658,0.0345,29
0.5,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,500,0.5543,0.4305,0.4846,0.2858,0.0345,29
0.75,1,600,0.5461,0.4344,0.4839,0.2603,0.0345,29
0,0.75,200,0.3554,0.7544,0.4832,0.4398,0.0345,29
0.5,0.75,600,0.5522,0.4286,0.4826,0.2619,0.0345,29
1,0,250,0.3603,0.7287,0.4822,0.4336,0.0345,29
0.75,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,500,0.5681,0.4181,0.4817,0.2896,0.0345,29
0,0,250,0.354,0.7513,0.4813,0.4397,0.0345,29
0.75,0,250,0.354,0.749,0.4808,0.4382,0.0345,29
0.75,0.25,550,0.569,0.4144,0.4796,0.2519,0.0345,29
0.25,0,550,0.5555,0.4203,0.4786,0.2658,0.0345,29
0.25,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,500,0.5341,0.4332,0.4784,0.269,0.0345,29
