StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,0,0.3567,0.6991,0.4724
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,50,0.3569,0.4931,0.4141
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,100,0.3547,0.4856,0.4099
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,150,0.36,0.4835,0.4127
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,200,0.3605,0.4816,0.4123
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,250,0.3701,0.4807,0.4182
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,300,0.3921,0.4747,0.4295
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,350,0.4284,0.473,0.4496
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,400,0.4285,0.4709,0.4487
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,450,0.4333,0.4695,0.4507
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,500,0.4325,0.4672,0.4492
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,550,0.8406,0.4646,0.5984
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,600,0.8423,0.4629,0.5975
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,650,0.8659,0.4599,0.6007
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,700,0.9065,0.4548,0.6057
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,750,0.923,0.4489,0.604
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,800,0.9574,0.4349,0.5981
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,850,0.9729,0.4193,0.5861
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,900,0.9889,0.4,0.5696
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,950,0.9873,0.3256,0.4897
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=quadratic,1000,1,0.0208,0.0407
